handle,Tweet,Retweet,Reply,Total,#tweets,#followers,#friends,Joining Date,n-cubit related %age
AKASHDEEP0000,1,0,0,1,1,2,1,Sat May 13 14:23:37 2017,1.0
AKASHKU47931067,1,0,0,1,1,0,22,Sun May 14 05:11:18 2017,1.0
AKChaurasiabpl,0,2,0,2,33,6,19,Sun May 14 05:41:44 2017,0.0606060606061
AKDevi_db,2,0,0,2,3,1,7,Fri May 12 00:47:15 2017,0.666666666667
AKMallick7,0,1,0,1,17,3,5,Sun May 14 06:50:21 2017,0.0588235294118
AKSingh852,1,0,0,1,1,0,0,Sun May 14 03:25:05 2017,1.0
AKiransatsangi,1,14,0,15,67,13,80,Tue May 09 06:56:18 2017,0.223880597015
AMARKUMARPANDE,1,0,0,1,1,2,20,Wed May 10 16:08:36 2017,1.0
AMARNATH_15,0,1,0,1,3,1,1,Sat May 13 23:13:05 2017,0.333333333333
AMITKUM02100040,0,2,0,2,2,3,22,Sun May 14 01:38:00 2017,1.0
AMITKUM65221795,1,0,0,1,1,0,20,Sun May 14 04:46:32 2017,1.0
AMRITSH36321223,0,1,0,1,23,3,43,Thu May 11 18:07:20 2017,0.0434782608696
AM_040389,1,1,0,2,3,4,5,Sun May 14 02:23:34 2017,0.666666666667
ANANDKU79049701,0,2,0,2,5,3,21,Sun May 14 01:48:32 2017,0.4
ANANTPREM1,1,0,0,1,3,0,0,Wed May 10 16:01:08 2017,0.333333333333
ANANYAPREM1,1,0,0,1,2,0,20,Wed May 10 15:43:19 2017,0.5
ANILSRI27218487,0,2,0,2,19,1,1,Wed May 17 12:54:50 2017,0.105263157895
ANITADE14396875,0,1,0,1,7,1,23,Tue May 16 15:26:35 2017,0.142857142857
ANKITA_0403,1,2,0,3,4,2,2,Fri May 12 12:27:52 2017,0.75
ANKURKAKKAR12,1,0,0,1,1,3,1,Sun May 14 01:10:08 2017,1.0
ANSHARIYA2015,1,0,0,1,1,0,21,Sat May 13 07:38:03 2017,1.0
ANU8158,1,0,0,1,1,4,21,Thu May 18 06:58:12 2017,1.0
ANUPAMS1710,1,0,0,1,1,4,74,Thu May 11 15:58:25 2017,1.0
ANURAGN40281248,1,0,0,1,1,3,2,Sat May 13 04:57:51 2017,1.0
APGaur,0,1,0,1,9,0,2,Fri May 12 03:51:09 2017,0.111111111111
ARCHANA163JHA,0,1,0,1,11,3,20,Wed May 10 15:07:27 2017,0.0909090909091
ARLRao1,0,6,0,6,150,86,211,Tue Mar 28 13:53:57 2017,0.04
ARadhapyari,1,0,0,1,1,0,0,Thu May 11 01:57:57 2017,1.0
ARoy2684,0,1,0,1,18,45,81,Sun May 14 07:33:07 2017,0.0555555555556
ASATYAN54854766,1,0,0,1,1,0,0,Sun May 14 01:38:51 2017,1.0
ASHOKBTC,1,0,0,1,1,0,0,Sat May 13 12:52:07 2017,1.0
ASHOKSA42323342,1,0,0,1,1,0,20,Sun May 14 05:12:51 2017,1.0
ASRCop,0,1,0,1,10,525,1,Sun Mar 05 18:43:08 2017,0.1
ASRagini2,1,1,0,2,3,0,21,Sun May 14 14:46:46 2017,0.666666666667
ASahrama,1,1,0,2,10,0,1,Sun May 14 04:24:46 2017,0.2
ASaikrishna17,1,0,0,1,1,0,0,Sat May 13 09:35:57 2017,1.0
ASaikrishna20,1,0,0,1,1,0,0,Sat May 13 09:38:20 2017,1.0
ASubhramanyam,1,0,0,1,1,0,0,Sun May 14 01:35:38 2017,1.0
ATOLIPRAKASH321,1,0,0,1,1,0,0,Sun May 14 10:50:05 2017,1.0
AVENUGOPAL1969,1,0,0,1,1,0,21,Sat May 13 07:13:42 2017,1.0
AVINASH10434576,1,0,0,1,1,1,20,Sun May 14 05:28:25 2017,1.0
