handle,Reply,Retweet,Tweet,#tweets,#followers,#friends,Joining Date
ANANDKU79049701,0,2,0,5,3,21,Sun May 14 01:48:32 2017
ANANTPREM1,0,0,1,3,0,0,Wed May 10 16:01:08 2017
ANANYAPREM1,0,0,1,2,0,20,Wed May 10 15:43:19 2017
ANILSRI27218487,0,2,0,19,1,1,Wed May 17 12:54:50 2017
ANITADE14396875,0,1,0,7,1,23,Tue May 16 15:26:35 2017
ANKITA_0403,0,2,1,4,2,2,Fri May 12 12:27:52 2017
ANKURKAKKAR12,0,0,1,1,3,1,Sun May 14 01:10:08 2017
ANSHARIYA2015,0,0,1,1,0,21,Sat May 13 07:38:03 2017
ANU8158,0,0,1,1,4,21,Thu May 18 06:58:12 2017
ANUPAMS1710,0,0,1,1,4,74,Thu May 11 15:58:25 2017
ANURAGN40281248,0,0,1,1,3,2,Sat May 13 04:57:51 2017
APGaur,0,1,0,9,0,2,Fri May 12 03:51:09 2017
ARCHANA163JHA,0,1,0,11,3,20,Wed May 10 15:07:27 2017
ARLRao1,0,6,0,150,86,211,Tue Mar 28 13:53:57 2017
ARadhapyari,0,0,1,1,0,0,Thu May 11 01:57:57 2017
ARoy2684,0,1,0,18,45,81,Sun May 14 07:33:07 2017
ASATYAN54854766,0,0,1,1,0,0,Sun May 14 01:38:51 2017
ASHOKBTC,0,0,1,1,0,0,Sat May 13 12:52:07 2017
ASHOKSA42323342,0,0,1,1,0,20,Sun May 14 05:12:51 2017
ASRCop,0,1,0,10,525,1,Sun Mar 05 18:43:08 2017
ASRagini2,0,1,1,3,0,21,Sun May 14 14:46:46 2017
ASahrama,0,1,1,10,0,1,Sun May 14 04:24:46 2017
ASaikrishna17,0,0,1,1,0,0,Sat May 13 09:35:57 2017
ASaikrishna20,0,0,1,1,0,0,Sat May 13 09:38:20 2017
ASubhramanyam,0,0,1,1,0,0,Sun May 14 01:35:38 2017
ATOLIPRAKASH321,0,0,1,1,0,0,Sun May 14 10:50:05 2017
AVENUGOPAL1969,0,0,1,1,0,21,Sat May 13 07:13:42 2017
AVINASH10434576,0,0,1,1,1,20,Sun May 14 05:28:25 2017
AVenkateshwar3,0,0,1,1,2,20,Wed May 10 11:54:51 2017
A_BHARATHITPT,0,2,0,2,2,2,Sun May 14 14:37:33 2017
A_Nanavaty,0,0,1,1,0,0,Sat May 13 15:22:58 2017
Aadarsh_sagar,0,0,1,1,0,0,Sun May 14 05:04:55 2017
AadityaChoudhr1,0,0,1,1,5,2,Sun May 14 02:25:37 2017
Aakanksha1406,0,0,1,1,2,101,Sun May 14 15:04:07 2017
Aanand44035663,0,0,2,3,2,21,Sat May 13 07:48:34 2017
Aanchal02081994,0,0,1,1,0,0,Sun May 14 16:17:47 2017
AaoSkjain,0,5,0,5617,74,89,Sun Jul 26 12:03:31 2015
AaradhitaKaler,0,0,1,1,6,39,Sat May 13 17:11:36 2017
AaradhyaGupta8,0,0,1,1,3,1,Sun May 14 00:56:20 2017
AaratSharma,0,0,1,1,0,0,Sun May 14 07:41:45 2017
Aaratb,0,2,0,800,70,149,Mon Sep 16 13:07:33 2013
AarathVG,0,0,1,19,9,27,Sun Mar 12 14:44:57 2017
AarathiG,0,1,1,2,0,0,Mon May 15 06:39:26 2017
AarathiNandyala,0,2,1,6,5,98,Sun May 14 01:11:27 2017
AaravSoaminagar,0,0,1,1,1,1,Sun May 14 10:33:13 2017
AarnaSrivastava,0,1,0,1,3,6,Sat May 13 09:08:15 2017
Aarti58029901,0,0,1,1,1,1,Sun May 14 08:52:06 2017
Aarti65199869,0,0,1,2,0,21,Sun May 14 04:26:43 2017
AartiChopra1969,0,0,1,1,23,53,Fri May 12 07:30:08 2017
AartiGu38928183,0,0,1,1,1,23,Thu May 11 07:21:47 2017
AartiKhattar2,0,0,1,1,2,50,Sat May 13 16:49:13 2017
AartiSharma1507,0,1,0,17,0,20,Sun May 14 00:34:19 2017
Aarti__saxena,0,0,1,4,0,23,Sun May 14 04:02:42 2017
AarushiMathur2,0,3,1,4,1,1,Sun May 14 05:09:28 2017
AaryanBajaj1,0,1,1,3,5,10,Sat May 13 15:44:30 2017
AashaRa80479165,0,0,1,1,15,85,Sat May 13 18:00:07 2017
AashnaGaur,0,0,1,1,0,0,Sun May 14 05:24:44 2017
Aasthanurag,0,0,1,1,0,0,Sun May 14 14:45:53 2017
AayushC01,1,0,0,1,4,60,Sun May 14 02:27:49 2017
AbeerSri2009,0,1,1,2,0,1,Mon May 15 13:28:06 2017
AbhaGup45329457,0,1,0,18,2,2,Sun May 14 12:59:38 2017
AbhaMathur4,0,0,1,1,1,0,Sun May 14 00:46:04 2017
Abhay1937,0,0,1,5,3,1,Fri May 19 17:29:43 2017
AbhayKantGupta3,0,0,1,1,0,0,Sun May 14 04:33:41 2017
AbhayKu52108040,0,0,1,2,4,8,Sun May 14 02:09:31 2017
Abhi370uk,0,0,1,3,10,7,Thu May 11 06:14:24 2017
Abhijee72215175,0,0,1,1,17,96,Sun May 14 04:51:45 2017
Abhijee98033567,0,0,1,1,0,0,Sun May 14 12:27:34 2017
AbhijeetSandhu3,0,1,0,18,16,57,Sun May 14 13:57:02 2017
Abhijim77,0,0,1,1,0,30,Sat May 13 15:31:01 2017
Abhilas20551862,0,0,1,1,1,1,Sun May 14 02:17:26 2017
Abhilas68787093,0,2,0,4,2,28,Thu May 11 14:11:09 2017
AbhinavBansiwa1,0,1,0,17,3,42,Mon May 15 17:58:38 2017
AbhinavS_S,0,1,0,2,0,2,Mon May 08 12:26:02 2017
AbhiruchiAnjan1,0,0,1,1,0,21,Sun May 14 02:41:13 2017
Abhishe00825405,0,0,1,1,0,0,Sun May 14 02:59:41 2017
Abhishe25642286,0,2,0,18,0,2,Sun May 14 03:02:55 2017
Abhishe88651864,0,0,1,1,8,19,Sun May 14 01:07:58 2017
Abhishe95313636,0,0,1,1,0,0,Sun May 14 12:00:44 2017
Abhishe97013275,0,1,0,17,0,20,Sun May 14 04:03:16 2017
Abhishek202037,0,1,1,2,0,0,Fri May 19 06:27:19 2017
AbhishekViewly,0,0,1,4,0,20,Fri May 12 16:56:49 2017
Abhishek_k_,0,2,1,858,668,1048,Sun May 08 17:31:39 2011
AchalMogla,0,0,1,55,35,21,Wed Sep 16 05:35:12 2015
AchalNihar,0,0,1,1,0,1,Sun May 14 09:37:04 2017
AchalSadhna,0,0,1,1,0,0,Sun May 14 05:03:08 2017
AchalWalia,0,0,1,1,0,0,Fri May 12 15:27:16 2017
Achalasingh4,0,0,1,7,0,20,Sun May 14 09:22:59 2017
AchintDua,0,0,1,4,0,0,Sat May 13 14:02:07 2017
AchintNarain,0,0,1,68,109,155,Thu Jul 30 15:19:01 2015
AchintSatsangi1,0,0,1,1,0,0,Sun May 14 04:39:10 2017
Achintgarg1,0,1,3,107,19,76,Fri Jul 22 08:22:16 2011
Achintsatsangi,0,1,0,541,92,176,Sat May 01 11:53:43 2010
AdanbaghB,0,1,0,5,2,0,Wed May 17 03:58:00 2017
Adarsh45399722,0,0,1,4,0,0,Wed May 10 15:26:26 2017
AdarshK15007302,0,0,1,1,30,74,Sun May 14 13:21:18 2017
AdarshS03915152,0,1,0,68,2,110,Sun May 14 04:25:59 2017
Adbhuti,0,0,1,4031,1069,1718,Tue Oct 29 13:49:26 2013
Adbhuti1,0,0,1,1,2,0,Sun May 14 10:55:48 2017
Adesh1008,0,0,1,1,0,17,Sun May 14 16:37:12 2017
AdeshKumari1,0,0,1,1,1,2,Sat May 13 14:22:15 2017
AdeshRoshan,0,0,1,1,0,0,Sun May 14 04:38:42 2017
AdharSant,0,1,0,19,7,34,Sat May 13 17:15:20 2017
AditiGarg1234,0,1,1,2,1,1,Sun May 14 12:40:53 2017
AditiGu93690165,0,1,0,2,0,1,Sun May 14 10:44:31 2017
AdityaChaganti8,0,1,0,18,5,67,Sun May 14 08:56:53 2017
AdityaS46035897,0,0,1,1,1,0,Mon May 15 06:51:06 2017
AdityaTalwar8,0,0,1,1,0,20,Sun May 14 04:43:12 2017
AdityachauhanR,0,1,0,539,31,50,Sat Apr 30 02:44:45 2016
AdvayArora,0,2,0,22,1,2,Sun May 14 00:49:31 2017
AdvayGugliani,0,0,1,1,0,2,Sun May 14 05:57:42 2017
Agam21474514,0,39,0,92,2,22,Sat May 13 23:00:41 2017
AgamAgammehra,0,0,1,1,2,0,Sun May 14 03:35:41 2017
AgamChaitanya,0,1,1,2,5,56,Sun May 14 03:27:39 2017
AgamGarg7,0,0,1,1,1,80,Sun May 14 12:34:26 2017
AgamKSrivastav1,0,0,1,0,0,0,Thu May 11 12:42:45 2017
AgamKap,0,0,1,1,6,7,Sun May 14 03:52:24 2017
AgamKum69505197,0,0,2,3,0,1,Sat May 13 11:32:37 2017
AgamKushwaha4,0,0,1,1,4,0,Sun May 14 03:12:11 2017
AgamPoonam,0,2,0,5,1,27,Sat May 13 05:07:47 2017
AgamPrakash10,0,1,0,2,4,42,Sun May 14 03:24:51 2017
AgamSaran10,0,1,0,17,4,101,Sun May 14 14:18:29 2017
AgamSaran6,0,1,0,17,15,45,Sun May 14 14:10:07 2017
AgamSaxena10,0,0,1,1,1,0,Sun May 14 04:33:02 2017
AgamSha75435211,0,0,1,2,1,10,Sun May 14 03:43:10 2017
AgamSha77862143,0,0,1,1,0,1,Sat May 13 18:45:21 2017
AgamSha94970603,0,1,1,2,0,0,Sat May 13 15:50:10 2017
AgamSrivastav12,0,1,0,3,0,22,Sun May 14 12:23:57 2017
AgamVerma11,0,2,0,20,8,3,Sat May 13 08:01:22 2017
AgamVerma13,0,0,1,1,1,0,Sun May 14 10:20:07 2017
Agam_4747,0,0,1,3,5,31,Sun May 14 03:04:33 2017
Agamkapoor10,0,1,0,1,1,1,Sat May 13 16:04:56 2017
Agamsaroop84,0,0,1,1,3,0,Thu May 11 20:14:46 2017
Agamsatsangi1,0,1,0,18,1,1,Sun May 14 09:16:10 2017
Agamsharan2,0,4,0,10,8,88,Sun May 14 02:23:05 2017
Agamv2009,0,0,1,1,2,1,Sat May 13 17:11:02 2017
Agamyadav13,0,0,1,2,1,3,Wed May 10 14:29:50 2017
AgarwalArsh,0,0,1,1,7,58,Sun May 14 04:54:57 2017
Agent_Mcadam,0,1,0,2199,12995,724,Sun Sep 26 09:31:57 2010
AggarwaSharan,0,0,1,1,1,31,Sun May 14 04:54:36 2017
AggarwalBodh,0,0,1,3,1,15,Sun May 14 07:50:20 2017
AhBasudeo,0,1,0,26,1,11,Sat May 13 10:39:24 2017
