handle,ID String,Tweet,Retweet,Reply,Total,#tweets,#followers,#friends,Joining Date,n-cubit related %age,Score-English,Score-Universal,Score-Network,Score-Content,Score-Sentiment,Score-Temporal,Score-Friend,Score-User
Jagdish32360934,863273734001524736,0,1,0,1,4,51,95,Sat May 13 06:04:31 2017,0.25,0.74,0.63,0.797621863222,0.89,0.74,0.67,0.69,0.73
Jagdish61124197,863600704560214016,0,1,0,1,2,23,82,Sun May 14 03:43:47 2017,0.5,0.71,0.7,0.799798443387,0.835890983286,0.79,0.787951843463,0.59,0.62
JagdishSInghAn4,863613294430617601,1,0,0,1,1,0,22,Sun May 14 04:33:49 2017,1.0,0.99,0.983532829531,0.802706715068,0.96,0.361346662576,0.787951843463,0.793147133651,0.783886357497
Jagdish_bansiwa,863423588778508288,1,1,0,2,2,0,40,Sat May 13 16:00:00 2017,1.0,0.61,0.66,0.775604697263,0.76,0.64,0.787951843463,0.31,0.5
JageshawarS,863319793859936256,1,0,0,1,1,12,13,Sat May 13 09:07:33 2017,1.0,0.96,0.997705882353,1.0,0.89,0.361346662576,0.787951843463,0.793147133651,0.783886357497
JaggiPrem,864020552389939202,0,1,0,1,2,0,1,Mon May 15 07:32:07 2017,0.5,0.685,0.66,0.776301438646,0.74,0.64,0.942305822347,0.88,0.717617021277
JagjitSidhu18,863662062106488833,0,1,0,1,1,0,1,Sun May 14 07:47:36 2017,1.0,0.788571428571,0.758687165775,0.797621863222,0.67,0.361346662576,0.787951843463,0.88,0.783886357497
JagratiBhatnag5,863632988407554048,1,1,0,2,2,0,21,Sun May 14 05:52:04 2017,1.0,0.81,0.55,0.626250860251,0.88,0.53,0.787951843463,0.88,0.47
Jagtaar6,864097029793783808,0,1,0,1,2,0,1,Mon May 15 12:36:00 2017,0.5,0.675,0.66,0.776301438646,0.74,0.64,0.797043934032,0.88,0.727617021277
Jai09014458,863563361224728576,0,1,0,1,5,0,1,Sun May 14 01:15:24 2017,0.2,0.67,0.75,0.765865079365,0.73,0.77,0.864004851619,0.67,0.7
JaiKamal15,863011945514795008,1,0,0,1,2,1,41,Fri May 12 12:44:16 2017,0.5,0.66,0.61,0.797621863222,0.67,0.82,0.787951843463,0.88,0.61
JaiPrak54407271,863303079784882176,1,0,0,1,4,0,0,Sat May 13 08:01:08 2017,0.25,0.44,0.61,0.840246053348,0.23,0.361346662576,0.96,0.793147133651,0.62
JaiPrak63803609,862966444677574659,1,0,0,1,1,3,60,Fri May 12 09:43:28 2017,1.0,0.96,0.789786602043,0.840246053348,0.97,0.361346662576,0.787951843463,0.793147133651,0.783886357497
JaiPrakashDwi18,863569774235832320,1,0,0,1,1,0,1,Sun May 14 01:40:53 2017,1.0,0.89,0.789786602043,0.840246053348,0.77,0.72,0.787951843463,0.793147133651,0.783886357497
JaiShriRam04,863227064979030016,1,0,0,1,1,0,0,Sat May 13 02:59:05 2017,1.0,0.77,0.789786602043,0.840246053348,0.31,0.67,0.787951843463,0.793147133651,0.783886357497
Jaichand007,863974798275117056,1,0,0,1,2,32,97,Mon May 15 04:30:18 2017,0.5,0.65,0.91,0.803186734523,0.579166666667,0.361346662576,0.7,0.793147133651,0.91
Jaikumar_1,863634892747407361,1,0,0,1,4,38,100,Sun May 14 05:59:38 2017,0.25,0.62,0.97,0.840246053348,0.23,0.361346662576,0.867665198238,0.793147133651,0.91
Jainarayanrb,863578736288972800,1,0,0,1,1,3,42,Sun May 14 02:16:30 2017,1.0,0.85,0.789786602043,0.840246053348,0.92,0.92,0.787951843463,0.793147133651,0.783886357497
JaipalS87702671,863601885479129092,1,0,0,1,1,0,2,Sun May 14 03:48:29 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
JankiDevi11,863559204115591168,1,0,0,1,1,9,26,Sun May 14 00:58:53 2017,1.0,0.92,0.997705882353,0.849094155844,0.93,0.361346662576,0.787951843463,0.793147133651,0.783886357497
Jankitiwari3,863800680150159360,0,1,0,1,18,0,1,Sun May 14 16:58:25 2017,0.0555555555556,0.64,0.59,0.78,0.79,0.57,0.945357043222,0.87,0.56
Jasmita11_12,863596316269592577,1,0,0,1,1,1,80,Sun May 14 03:26:21 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
Jaspree98818081,863589723855572992,1,0,0,1,1,0,1,Sun May 14 03:00:09 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
Jasveer00Kaur,863635538825314304,0,1,0,1,2,0,2,Sun May 14 06:02:12 2017,0.5,0.76,0.65,0.626250860251,0.83,0.361346662576,0.787951843463,0.88,0.53
Jasvir01253362,863377688966418432,1,0,0,1,16,0,1,Sat May 13 12:57:36 2017,0.0625,0.65,0.61,0.73,0.64,0.56,0.799252241664,0.88,0.55
Jaswant13790653,863630557913198592,1,1,0,2,2,0,21,Sun May 14 05:42:25 2017,1.0,0.79,0.58,0.797621863222,0.69,0.361346662576,0.787951843463,0.88,0.647757847534
JaswantSinghWa1,863624265668542464,1,0,0,1,1,1,0,Sun May 14 05:17:25 2017,1.0,0.76,0.789786602043,0.840246053348,0.91,0.65,0.787951843463,0.793147133651,0.783886357497
Jaswinder153,863710005698146305,1,0,0,1,2,2,9,Sun May 14 10:58:07 2017,0.5,0.83,0.35,0.803186734523,0.76,0.59,0.74,0.793147133651,0.62
Jatinderk53,863608213027139584,0,1,0,1,16,0,22,Sun May 14 04:13:37 2017,0.0625,0.74,0.5,0.73,0.63,0.55,0.847358326829,0.88,0.677757847534
Jawaharlal1948,863664743533338624,0,1,0,1,18,1,22,Sun May 14 07:58:15 2017,0.0555555555556,0.68,0.56,0.78,0.79,0.57,0.918491514747,0.87,0.56
JayNathYadav14,863327800689700864,1,2,0,3,9,5,73,Sat May 13 09:39:22 2017,0.333333333333,0.71,0.65,0.7,0.67,0.73,0.78,0.77,0.62
JayPrak44285217,862288053846642688,1,0,0,1,2,2,20,Wed May 10 12:47:47 2017,0.5,0.68,0.57,0.797621863222,0.85,0.423440514469,0.787951843463,0.88,0.48
Jaya44051295,864081112125112320,1,0,0,1,1,0,0,Mon May 15 11:32:45 2017,1.0,0.99,0.789786602043,0.840246053348,0.98,0.361346662576,0.787951843463,0.793147133651,0.783886357497
